# emoji-sequences.txt
# Date: 2018-02-07, 07:55:18 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: any of {Emoji_Combining_Sequence, Emoji_Flag_Sequence, Emoji_Modifier_Sequence}
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji Keycap Sequence

0023 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: \x{23}                                                 #  3.0  [1] (#️⃣)
002A FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: *                                                      #  3.0  [1] (*️⃣)
0030 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 0                                                      #  3.0  [1] (0️⃣)
0031 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 1                                                      #  3.0  [1] (1️⃣)
0032 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 2                                                      #  3.0  [1] (2️⃣)
0033 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 3                                                      #  3.0  [1] (3️⃣)
0034 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 4                                                      #  3.0  [1] (4️⃣)
0035 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 5                                                      #  3.0  [1] (5️⃣)
0036 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 6                                                      #  3.0  [1] (6️⃣)
0037 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 7                                                      #  3.0  [1] (7️⃣)
0038 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 8                                                      #  3.0  [1] (8️⃣)
0039 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: 9                                                      #  3.0  [1] (9️⃣)

# Total elements: 12

# ================================================

# Emoji Flag Sequence: This list does not include deprecated or macroregion flags, except for UN and EU.
# See Annex B of TR51 for more information.

1F1E6 1F1E8   ; Emoji_Flag_Sequence       ; Ascension Island                                               #  6.0  [1] (🇦🇨)
1F1E6 1F1E9   ; Emoji_Flag_Sequence       ; Andorra                                                        #  6.0  [1] (🇦🇩)
1F1E6 1F1EA   ; Emoji_Flag_Sequence       ; United Arab Emirates                                           #  6.0  [1] (🇦🇪)
1F1E6 1F1EB   ; Emoji_Flag_Sequence       ; Afghanistan                                                    #  6.0  [1] (🇦🇫)
1F1E6 1F1EC   ; Emoji_Flag_Sequence       ; Antigua & Barbuda                                              #  6.0  [1] (🇦🇬)
1F1E6 1F1EE   ; Emoji_Flag_Sequence       ; Anguilla                                                       #  6.0  [1] (🇦🇮)
1F1E6 1F1F1   ; Emoji_Flag_Sequence       ; Albania                                                        #  6.0  [1] (🇦🇱)
1F1E6 1F1F2   ; Emoji_Flag_Sequence       ; Armenia                                                        #  6.0  [1] (🇦🇲)
1F1E6 1F1F4   ; Emoji_Flag_Sequence       ; Angola                                                         #  6.0  [1] (🇦🇴)
1F1E6 1F1F6   ; Emoji_Flag_Sequence       ; Antarctica                                                     #  6.0  [1] (🇦🇶)
1F1E6 1F1F7   ; Emoji_Flag_Sequence       ; Argentina                                                      #  6.0  [1] (🇦🇷)
1F1E6 1F1F8   ; Emoji_Flag_Sequence       ; American Samoa                                                 #  6.0  [1] (🇦🇸)
1F1E6 1F1F9   ; Emoji_Flag_Sequence       ; Austria                                                        #  6.0  [1] (🇦🇹)
1F1E6 1F1FA   ; Emoji_Flag_Sequence       ; Australia                                                      #  6.0  [1] (🇦🇺)
1F1E6 1F1FC   ; Emoji_Flag_Sequence       ; Aruba                                                          #  6.0  [1] (🇦🇼)
1F1E6 1F1FD   ; Emoji_Flag_Sequence       ; Åland Islands                                                  #  6.0  [1] (🇦🇽)
1F1E6 1F1FF   ; Emoji_Flag_Sequence       ; Azerbaijan                                                     #  6.0  [1] (🇦🇿)
1F1E7 1F1E6   ; Emoji_Flag_Sequence       ; Bosnia & Herzegovina                                           #  6.0  [1] (🇧🇦)
1F1E7 1F1E7   ; Emoji_Flag_Sequence       ; Barbados                                                       #  6.0  [1] (🇧🇧)
1F1E7 1F1E9   ; Emoji_Flag_Sequence       ; Bangladesh                                                     #  6.0  [1] (🇧🇩)
1F1E7 1F1EA   ; Emoji_Flag_Sequence       ; Belgium                                                        #  6.0  [1] (🇧🇪)
1F1E7 1F1EB   ; Emoji_Flag_Sequence       ; Burkina Faso                                                   #  6.0  [1] (🇧🇫)
1F1E7 1F1EC   ; Emoji_Flag_Sequence       ; Bulgaria                                                       #  6.0  [1] (🇧🇬)
1F1E7 1F1ED   ; Emoji_Flag_Sequence       ; Bahrain                                                        #  6.0  [1] (🇧🇭)
1F1E7 1F1EE   ; Emoji_Flag_Sequence       ; Burundi                                                        #  6.0  [1] (🇧🇮)
1F1E7 1F1EF   ; Emoji_Flag_Sequence       ; Benin                                                          #  6.0  [1] (🇧🇯)
1F1E7 1F1F1   ; Emoji_Flag_Sequence       ; St. Barthélemy                                                 #  6.0  [1] (🇧🇱)
1F1E7 1F1F2   ; Emoji_Flag_Sequence       ; Bermuda                                                        #  6.0  [1] (🇧🇲)
1F1E7 1F1F3   ; Emoji_Flag_Sequence       ; Brunei                                                         #  6.0  [1] (🇧🇳)
1F1E7 1F1F4   ; Emoji_Flag_Sequence       ; Bolivia                                                        #  6.0  [1] (🇧🇴)
1F1E7 1F1F6   ; Emoji_Flag_Sequence       ; Caribbean Netherlands                                          #  6.0  [1] (🇧🇶)
1F1E7 1F1F7   ; Emoji_Flag_Sequence       ; Brazil                                                         #  6.0  [1] (🇧🇷)
1F1E7 1F1F8   ; Emoji_Flag_Sequence       ; Bahamas                                                        #  6.0  [1] (🇧🇸)
1F1E7 1F1F9   ; Emoji_Flag_Sequence       ; Bhutan                                                         #  6.0  [1] (🇧🇹)
1F1E7 1F1FB   ; Emoji_Flag_Sequence       ; Bouvet Island                                                  #  6.0  [1] (🇧🇻)
1F1E7 1F1FC   ; Emoji_Flag_Sequence       ; Botswana                                                       #  6.0  [1] (🇧🇼)
1F1E7 1F1FE   ; Emoji_Flag_Sequence       ; Belarus                                                        #  6.0  [1] (🇧🇾)
1F1E7 1F1FF   ; Emoji_Flag_Sequence       ; Belize                                                         #  6.0  [1] (🇧🇿)
1F1E8 1F1E6   ; Emoji_Flag_Sequence       ; Canada                                                         #  6.0  [1] (🇨🇦)
1F1E8 1F1E8   ; Emoji_Flag_Sequence       ; Cocos (Keeling) Islands                                        #  6.0  [1] (🇨🇨)
1F1E8 1F1E9   ; Emoji_Flag_Sequence       ; Congo - Kinshasa                                               #  6.0  [1] (🇨🇩)
1F1E8 1F1EB   ; Emoji_Flag_Sequence       ; Central African Republic                                       #  6.0  [1] (🇨🇫)
1F1E8 1F1EC   ; Emoji_Flag_Sequence       ; Congo - Brazzaville                                            #  6.0  [1] (🇨🇬)
1F1E8 1F1ED   ; Emoji_Flag_Sequence       ; Switzerland                                                    #  6.0  [1] (🇨🇭)
1F1E8 1F1EE   ; Emoji_Flag_Sequence       ; Côte d’Ivoire                                                  #  6.0  [1] (🇨🇮)
1F1E8 1F1F0   ; Emoji_Flag_Sequence       ; Cook Islands                                                   #  6.0  [1] (🇨🇰)
1F1E8 1F1F1   ; Emoji_Flag_Sequence       ; Chile                                                          #  6.0  [1] (🇨🇱)
1F1E8 1F1F2   ; Emoji_Flag_Sequence       ; Cameroon                                                       #  6.0  [1] (🇨🇲)
1F1E8 1F1F3   ; Emoji_Flag_Sequence       ; China                                                          #  6.0  [1] (🇨🇳)
1F1E8 1F1F4   ; Emoji_Flag_Sequence       ; Colombia                                                       #  6.0  [1] (🇨🇴)
1F1E8 1F1F5   ; Emoji_Flag_Sequence       ; Clipperton Island                                              #  6.0  [1] (🇨🇵)
1F1E8 1F1F7   ; Emoji_Flag_Sequence       ; Costa Rica                                                     #  6.0  [1] (🇨🇷)
1F1E8 1F1FA   ; Emoji_Flag_Sequence       ; Cuba                                                           #  6.0  [1] (🇨🇺)
1F1E8 1F1FB   ; Emoji_Flag_Sequence       ; Cape Verde                                                     #  6.0  [1] (🇨🇻)
1F1E8 1F1FC   ; Emoji_Flag_Sequence       ; Curaçao                                                        #  6.0  [1] (🇨🇼)
1F1E8 1F1FD   ; Emoji_Flag_Sequence       ; Christmas Island                                               #  6.0  [1] (🇨🇽)
1F1E8 1F1FE   ; Emoji_Flag_Sequence       ; Cyprus                                                         #  6.0  [1] (🇨🇾)
1F1E8 1F1FF   ; Emoji_Flag_Sequence       ; Czechia                                                        #  6.0  [1] (🇨🇿)
1F1E9 1F1EA   ; Emoji_Flag_Sequence       ; Germany                                                        #  6.0  [1] (🇩🇪)
1F1E9 1F1EC   ; Emoji_Flag_Sequence       ; Diego Garcia                                                   #  6.0  [1] (🇩🇬)
1F1E9 1F1EF   ; Emoji_Flag_Sequence       ; Djibouti                                                       #  6.0  [1] (🇩🇯)
1F1E9 1F1F0   ; Emoji_Flag_Sequence       ; Denmark                                                        #  6.0  [1] (🇩🇰)
