# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468  ; Emoji_ZWJ_Sequence  ; kiss: man, man                                                 #  6.0  [1] (👨‍❤️‍💋‍👨)
1F468 200D 1F466                            ; Emoji_ZWJ_Sequence  ; family: man, boy                                               #  6.0  [1] (👨‍👦)
1F468 200D 1F466 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: man, boy, boy                                          #  6.0  [1] (👨‍👦‍👦)
1F468 200D 1F467                            ; Emoji_ZWJ_Sequence  ; family: man, girl                                              #  6.0  [1] (👨‍👧)
1F468 200D 1F467 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: man, girl, boy                                         #  6.0  [1] (👨‍👧‍👦)
1F468 200D 1F467 200D 1F467                 ; Emoji_ZWJ_Sequence  ; family: man, girl, girl                                        #  6.0  [1] (👨‍👧‍👧)
1F468 200D 1F468 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: man, man, boy                                          #  6.0  [1] (👨‍👨‍👦)
1F468 200D 1F468 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: man, man, boy, boy                                     #  6.0  [1] (👨‍👨‍👦‍👦)
1F468 200D 1F468 200D 1F467                 ; Emoji_ZWJ_Sequence  ; family: man, man, girl                                         #  6.0  [1] (👨‍👨‍👧)
1F468 200D 1F468 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: man, man, girl, boy                                    #  6.0  [1] (👨‍👨‍👧‍👦)
1F468 200D 1F468 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; family: man, man, girl, girl                                   #  6.0  [1] (👨‍👨‍👧‍👧)
1F468 200D 1F469 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: man, woman, boy                                        #  6.0  [1] (👨‍👩‍👦)
1F468 200D 1F469 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: man, woman, boy, boy                                   #  6.0  [1] (👨‍👩‍👦‍👦)
1F468 200D 1F469 200D 1F467                 ; Emoji_ZWJ_Sequence  ; family: man, woman, girl                                       #  6.0  [1] (👨‍👩‍👧)
1F468 200D 1F469 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: man, woman, girl, boy                                  #  6.0  [1] (👨‍👩‍👧‍👦)
1F468 200D 1F469 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; family: man, woman, girl, girl                                 #  6.0  [1] (👨‍👩‍👧‍👧)
1F469 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: woman, man                                  #  6.0  [1] (👩‍❤️‍👨)
1F469 200D 2764 FE0F 200D 1F469             ; Emoji_ZWJ_Sequence  ; couple with heart: woman, woman                                #  6.0  [1] (👩‍❤️‍👩)
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468  ; Emoji_ZWJ_Sequence  ; kiss: woman, man                                               #  6.0  [1] (👩‍❤️‍💋‍👨)
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469  ; Emoji_ZWJ_Sequence  ; kiss: woman, woman                                             #  6.0  [1] (👩‍❤️‍💋‍👩)
1F469 200D 1F466                            ; Emoji_ZWJ_Sequence  ; family: woman, boy                                             #  6.0  [1] (👩‍👦)
1F469 200D 1F466 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: woman, boy, boy                                        #  6.0  [1] (👩‍👦‍👦)
1F469 200D 1F467                            ; Emoji_ZWJ_Sequence  ; family: woman, girl                                            #  6.0  [1] (👩‍👧)
1F469 200D 1F467 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: woman, girl, boy                                       #  6.0  [1] (👩‍👧‍👦)
1F469 200D 1F467 200D 1F467                 ; Emoji_ZWJ_Sequence  ; family: woman, girl, girl                                      #  6.0  [1] (👩‍👧‍👧)
1F469 200D 1F469 200D 1F466                 ; Emoji_ZWJ_Sequence  ; family: woman, woman, boy                                      #  6.0  [1] (👩‍👩‍👦)
1F469 200D 1F469 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: woman, woman, boy, boy                                 #  6.0  [1] (👩‍👩‍👦‍👦)
1F469 200D 1F469 200D 1F467                 ; Emoji_ZWJ_Sequence  ; family: woman, woman, girl                                     #  6.0  [1] (👩‍👩‍👧)
1F469 200D 1F469 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; family: woman, woman, girl, boy                                #  6.0  [1] (👩‍👩‍👧‍👦)
1F469 200D 1F469 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; family: woman, woman, girl, girl                               #  6.0  [1] (👩‍👩‍👧‍👧)

# Total elements: 31

# ================================================

# Emoji ZWJ Sequence: Gendered Role, with object

1F468 200D 2695 FE0F                        ; Emoji_ZWJ_Sequence  ; man health worker                                              #  6.0  [1] (👨‍⚕️)
1F468 200D 2696 FE0F                        ; Emoji_ZWJ_Sequence  ; man judge                                                      #  6.0  [1] (👨‍⚖️)
1F468 200D 2708 FE0F                        ; Emoji_ZWJ_Sequence  ; man pilot                                                      #  6.0  [1] (👨‍✈️)
1F468 200D 1F33E                            ; Emoji_ZWJ_Sequence  ; man farmer                                                     #  6.0  [1] (👨‍🌾)
1F468 200D 1F373                            ; Emoji_ZWJ_Sequence  ; man cook                                                       #  6.0  [1] (👨‍🍳)
1F468 200D 1F393                            ; Emoji_ZWJ_Sequence  ; man student                                                    #  6.0  [1] (👨‍🎓)
1F468 200D 1F3A4                            ; Emoji_ZWJ_Sequence  ; man singer                                                     #  6.0  [1] (👨‍🎤)
1F468 200D 1F3A8                            ; Emoji_ZWJ_Sequence  ; man artist                                                     #  6.0  [1] (👨‍🎨)
1F468 200D 1F3EB                            ; Emoji_ZWJ_Sequence  ; man teacher                                                    #  6.0  [1] (👨‍🏫)
1F468 200D 1F3ED                            ; Emoji_ZWJ_Sequence  ; man factory worker                                             #  6.0  [1] (👨‍🏭)
1F468 200D 1F4BB                            ; Emoji_ZWJ_Sequence  ; man technologist                                               #  6.0  [1] (👨‍💻)
1F468 200D 1F4BC                            ; Emoji_ZWJ_Sequence  ; man office worker                                              #  6.0  [1] (👨‍💼)
1F468 200D 1F527                            ; Emoji_ZWJ_Sequence  ; man mechanic                                                   #  6.0  [1] (👨‍🔧)
1F468 200D 1F52C                            ; Emoji_ZWJ_Sequence  ; man scientist                                                  #  6.0  [1] (👨‍🔬)
1F468 200D 1F680                            ; Emoji_ZWJ_Sequence  ; man astronaut                                                  #  6.0  [1] (👨‍🚀)
1F468 200D 1F692                            ; Emoji_ZWJ_Sequence  ; man firefighter                                                #  6.0  [1] (👨‍🚒)
1F468 200D 1F9B0                            ; Emoji_ZWJ_Sequence  ; man, red haired                                                # 11.0  [1] (👨‍🦰)
1F468 200D 1F9B1                            ; Emoji_ZWJ_Sequence  ; man, curly haired                                              # 11.0  [1] (👨‍🦱)
